1.9516:4.93452 2.76038:5.64961 2.25345:3.85673 2.57322:4.02983 
1.37483:3.40381 1.36134:5.48831 1.77496:4.36505 1.27411:3.56838 
2.44529:4.57354 2.08036:5.87543 2.06849:3.28825 2.19657:3.68267 
0.425831:2.6859 1.02704:1.24556 0.950151:2.50732 2.74656:2.82555 
2.18435:0.413456 2.31105:0.541145 1.22174:2.94338 2.54518:0.386705 
0.673994:2.79064 0.89291:3.05779 0.342027:0.0143656 0.730444:2.66649 
0.473448:3.81448 3.04269:3.79879 1.63891:5.50976 1.65136:3.52739 
1.5638:3.07833 2.14196:2.88785 0.803546:0.198997 2.29475:3.13673 
1.48738:3.58252 0.904752:1.68735 2.19137:1.11505 1.48565:3.55103 
1.83833:0.487398 2.01435:6.16378 1.29436:1.98859 2.32653:5.11357 
1.16135:0.268756 0.431759:1.85477 1.96121:2.16292 1.5565:2.27217 
1.96121:2.16292 0.586124:0.247119 2.48003:1.10515 1.78632:2.20275 
0.538119:0.531018 1.64565:2.65371 2.59727:1.34347 0.416573:1.90219 
0.983991:1.91579 0.872713:0.973639 2.55314:2.17256 2.4029:0.522475 
1.89927:2.18499 0.521063:1.66858 0.675714:2.1454 0.369768:2.90909 
1.97214:2.84824 1.94358:1.3703 0.912714:1.38811 1.99797:2.90999 
2.54661:1.63351 0.583073:1.93408 0.784394:2.46741 2.20056:1.3083 
1.09891:1.16886 1.13689:0.903516 1.98886:1.86936 1.47805:2.16252 
1.79585:1.27937 1.94305:1.86119 2.13179:0.36633 2.3671:1.58466 
2.18283:1.59103 1.33272:1.39842 2.32216:1.54358 2.1267:1.89425 
2.1267:1.89425 2.66507:1.34493 0.27948:1.81656 0.574856:1.12029 
1.59274:2.20362 1.03232:2.62124 2.14513:0.178126 1.35187:2.91651 
2.4486:2.54493 1.68936:0.973463 2.13488:1.31293 2.48223:2.80864 
1.30689:1.07227 0.77688:2.32195 2.12807:1.47089 1.13288:1.62111 
0.633777:2.04805 2.24135:0.979243 1.11611:1.93823 1.86203:1.06107 
0.660634:2.53794 1.05323:1.69523 2.09045:1.91802 1.61929:1.95066 
1.70457:2.91123 0.646368:1.2729 2.85279:0.749654 1.64793:3.02577 
0.594786:0.878989 0.776426:0.61452 2.64483:2.21188 0.603389:3.05065 
2.8159:0.647433 2.70037:2.23961 1.92212:0.571405 2.3759:1.58396 
2.55035:1.60378 0.280753:0.915695 2.42334:1.60561 2.51264:2.07853 
2.51264:2.07853 2.07335:1.43856 1.28299:1.62603 1.03944:1.28243 
2.49397:3.13734 1.9658:2.54143 1.44359:0.575499 1.76282:2.92148 
1.18469:2.1741 2.53229:0.730319 0.604979:1.1437 1.33548:2.19387 
2.57011:0.425459 2.12462:4.04215 0.5759:1.3852 2.66451:4.5633 
2.14084:1.91273 2.26908:0.963779 0.574308:2.16736 0.673656:0.401286 
