0.653275:0.97855 0.183744:1.61203 1.12941:1.97685 
2.86116:3.0388 2.85954:2.39826 2.1988:1.8872 
2.85265:1.69829 1.9527:2.19163 1.04927:0.795878 
1.26363:2.2377 0.699846:2.41417 2.19669:0.885899 
1.01353:1.98625 0.901972:2.35084 0.822477:2.60455 
0.588588:2.70365 0.997303:0.298958 2.24666:3.06225 
2.02696:0.252995 2.29477:2.87954 1.06655:0.125529 
2.3093:0.822192 2.14292:0.776372 1.11492:1.95791 
0.809169:2.1184 0.219493:1.58166 0.913715:1.68432 
1.48363:5.07221 1.63739:4.51087 1.53781:4.93339 
2.2322:5.59467 2.18664:0.162653 2.69934:5.59141 
1.50162:1.09175 1.55628:1.03334 2.43034:3.11672 
1.38337:1.10723 1.5646:1.11408 2.12559:0.417226 
1.51453:1.23911 1.63045:2.32063 2.15886:0.863497 
2.63944:5.3103 1.69987:4.93013 2.53643:4.68643 
2.6569:6.00187 1.11704:4.45779 2.21975:5.32538 
1.79546:5.8106 1.47947:5.74366 1.76982:3.2487 
1.31384:1.72257 0.893255:2.12111 2.21724:1.1575 
1.41854:3.38296 1.61038:3.58519 0.927235:3.35381 
1.13023:2.59785 1.39747:1.01153 1.3477:2.49545 
1.39747:1.01153 1.64477:5.30959 2.24926:1.29624 
0.631027:2.36183 0.537373:3.71649 0.689329:2.43608 
0.101967:5.12232 1.60313:3.86774 1.87866:5.84442 
1.87866:5.84442 0.949868:3.2978 0.737528:6.26018 
2.16984:3.35117 1.74761:5.64698 1.60518:3.48495 
2.75096:2.40714 1.99857:2.52602 0.666036:0.878707 
1.67152:3.97573 1.00824:3.89047 1.8792:4.62758 
2.49985:6.06516 2.42605:5.64954 1.70818:6.03754 
1.02762:5.1536 1.16595:3.69366 1.71636:5.94721 
1.95553:1.53946 1.72833:1.57733 1.77321:1.35713 
0.466914:2.83314 0.212317:0.82415 2.82944:2.32349 
1.24741:1.87379 2.26602:4.90009 2.96527:3.78574 
2.12858:1.36369 2.36328:2.52782 0.153466:2.01868 
0.368239:1.87768 1.54641:0.767496 1.40536:2.62229 
1.40536:2.62229 1.72328:2.48825 0.923174:0.840843 
1.81929:1.53406 1.59951:1.52994 1.81134:1.42443 
1.30413:1.98534 1.96469:5.02025 2.88574:4.27336 
1.52518:0.780472 1.70943:0.8273 1.4819:1.4244 
0.0568628:3.18997 1.48955:3.81784 1.73738:5.79125 
2.77776:4.55622 0.629128:1.81268 2.86431:5.07283 
2.17566:1.00798 1.58251:1.6825 1.4543:1.99931 
0.945189:2.37475 1.2172:2.38717 1.70492:1.07331 
1.60343:2.27683 0.650711:2.45752 1.05748:2.34178 
2.43111:1.36672 1.37626:0.377857 2.2568:2.54347 
1.91115:1.51924 2.09515:1.92638 2.16958:1.02373 
2.09515:1.92638 2.56736:1.5663 2.3882:1.04241 
0.577127:1.08158 0.747993:1.202 0.38871:0.989161 
2.2272:0.842231 2.67741:0.322652 0.581725:2.54855 
0.598273:0.889702 0.797935:0.621934 2.64779:2.22421 
2.29905:0.83733 1.88207:2.54921 1.03299:0.265769 
1.29594:2.79724 1.11447:0.745005 1.96329:2.84247 
1.19376:2.29025 1.2642:2.30733 1.59384:1.17383 
2.80241:0.606835 2.90221:1.73851 2.69257:1.49276 
1.91696:0.549682 2.1749:2.80403 1.24425:0.165425 
2.32155:0.906162 3.02642:2.82062 0.652439:2.00297 
0.990875:2.36388 0.885707:2.67525 2.62282:0.296588 
0.707307:3.10485 1.20615:2.12167 2.26653:2.5035 
0.788349:1.10831 1.94573:0.218018 1.09969:2.34951 
0.313477:4.85894 0.604674:4.15798 2.32404:5.38251 
0.604674:4.15798 0.96832:4.73227 2.17112:5.18024 
2.09685:4.994 2.28129:5.02622 1.27291:4.90194 
2.1741:5.44413 1.6812:5.18166 1.28864:4.18855 
2.04466:5.10292 2.01424:5.39411 1.16149:4.41238 
0.953342:5.38675 1.00667:2.76052 1.80297:5.7108 
1.92223:3.40044 2.23028:5.69207 1.294:3.5657 
2.51549:3.67844 2.37896:3.53566 0.384347:6.24965 
1.73026:5.02023 1.30749:4.69505 1.99097:4.78175 
2.06014:5.88667 1.28377:3.78054 1.72814:5.93957 
0.782379:5.81288 1.76731:6.25183 1.56204:3.15159 
0.651375:5.45326 0.726863:3.60978 2.45087:5.55891 
